_fdp__id_,econ1_code,econ1_label,econ2_code,econ2_label,econ3_code,econ3_label
1,3,Rashodi poslovanja,31,Rashodi za zaposlene,311,Plaće (Bruto)
2,3,Rashodi poslovanja,31,Rashodi za zaposlene,312,Ostali rashodi za zaposlene
3,3,Rashodi poslovanja,31,Rashodi za zaposlene,313,Doprinosi na plaće
4,3,Rashodi poslovanja,32,Materijalni rashodi,321,Naknade troškova zaposlenima
5,3,Rashodi poslovanja,32,Materijalni rashodi,322,Rashodi za materijal i energiju
6,3,Rashodi poslovanja,32,Materijalni rashodi,323,Rashodi za usluge
7,3,Rashodi poslovanja,32,Materijalni rashodi,324,Naknade troškova osobama izvan radnog odnosa
8,3,Rashodi poslovanja,32,Materijalni rashodi,329,Ostali nespomenuti rashodi poslovanja
9,3,Rashodi poslovanja,34,Financijski rashodi,341,Kamate za izdane vrijednosne papire
10,3,Rashodi poslovanja,34,Financijski rashodi,342,Kamate za primljene kredite i zajmove
11,3,Rashodi poslovanja,34,Financijski rashodi,343,Ostali financijski rashodi
12,3,Rashodi poslovanja,35,Subvencije,351,Subvencije trgovačkim društvima u javnom sektoru
13,3,Rashodi poslovanja,35,Subvencije,352,"Subvencije trgovačkim društvima, poljoprivrednicima i obrtnicima izvan javnog sektora"
14,3,Rashodi poslovanja,36,Pomoći dane u inozemstvo i unutar općeg proračuna,361,Pomoći inozemnim vladama
15,3,Rashodi poslovanja,36,Pomoći dane u inozemstvo i unutar općeg proračuna,362,Pomoći međunarodnim organizacijama te institucijama i tijelima EU
16,3,Rashodi poslovanja,36,Pomoći dane u inozemstvo i unutar općeg proračuna,363,Pomoći unutar općeg proračuna
17,3,Rashodi poslovanja,36,Pomoći dane u inozemstvo i unutar općeg proračuna,366,Pomoći proračunskim korisnicima drugih proračuna
18,3,Rashodi poslovanja,36,Pomoći dane u inozemstvo i unutar općeg proračuna,368,Pomoći temeljem prijenosa EU sredstava
19,3,Rashodi poslovanja,37,Naknade građanima i kućanstvima na temelju osiguranja i druge naknade,371,Naknade građanima i kućanstvima na temelju osiguranja
