value,activity_id,administrative_classification_id,date_id,economic_classification_id,fin_source_id,functional_classification_id
83560000,1,1,1,1,1,1
79100000,1,1,2,1,1,1
78650000,1,1,3,1,1,1
915000,1,1,1,2,1,1
550000,1,1,2,2,1,1
656000,1,1,3,2,1,1
14384000,1,1,1,3,1,1
13564000,1,1,2,3,1,1
13537000,1,1,3,3,1,1
7830000,1,1,1,4,1,1
6860000,1,1,2,4,1,1
6860000,1,1,3,4,1,1
3520000,1,1,1,5,1,1
3320000,1,1,2,5,1,1
3530000,1,1,3,5,1,1
10600000,1,1,1,6,1,1
8218000,1,1,2,6,1,1
10475000,1,1,3,6,1,1
300000,1,1,1,7,1,1
550000,1,1,2,7,1,1
550000,1,1,3,7,1,1
4954000,1,1,1,8,1,1
7904000,1,1,2,8,1,1
7954000,1,1,3,8,1,1
18789,1,1,1,11,1,1
15668,1,1,2,11,1,1
16209,1,1,3,11,1,1
200000,1,1,1,20,1,1
200000,1,1,2,20,1,1
200000,1,1,3,20,1,1
461000,1,1,1,30,1,1
171000,1,1,2,30,1,1
211000,1,1,3,30,1,1
135000,1,1,1,32,1,1
35000,1,1,2,32,1,1
35000,1,1,3,32,1,1
18000,1,1,1,6,7,1
18000,1,1,2,6,7,1
18000,1,1,3,6,7,1
35000,1,1,1,7,12,1
,1,1,2,7,12,1
,1,1,3,7,12,1
360000,2,1,1,17,1,8
,2,1,2,17,1,8
,2,1,3,17,1,8
360000,2,1,1,21,1,8
360000,2,1,2,21,1,8
360000,2,1,3,21,1,8
500000,3,1,1,21,1,1
500000,3,1,2,21,1,1
500000,3,1,3,21,1,1
400,4,1,1,2,1,1
400,4,1,2,2,1,1
400,4,1,3,2,1,1
100,4,1,1,11,1,1
100,4,1,2,11,1,1
100,4,1,3,11,1,1
200000,5,1,1,17,1,8
,5,1,2,17,1,8
,5,1,3,17,1,8
500000,5,1,1,21,1,8
500000,5,1,2,21,1,8
500000,5,1,3,21,1,8
100000,6,1,1,21,1,8
100000,6,1,2,21,1,8
100000,6,1,3,21,1,8
600000,7,1,1,28,1,1
600000,7,1,2,28,1,1
600000,7,1,3,28,1,1
1200000,7,1,1,30,1,1
200000,7,1,2,30,1,1
300000,7,1,3,30,1,1
200000,7,1,1,34,1,1
100000,7,1,2,34,1,1
200000,7,1,3,34,1,1
50000,8,1,1,30,1,8
25000,8,1,2,30,1,8
25000,8,1,3,30,1,8
,106,2,1,5,1,1
60000,106,2,2,5,1,1
,106,2,3,5,1,1
421500,106,2,1,6,1,1
10080000,106,2,2,6,1,1
500000,106,2,3,6,1,1
12800,106,2,1,7,1,1
,106,2,2,7,1,1
,106,2,3,7,1,1
13000,106,2,1,8,1,1
,106,2,2,8,1,1
,106,2,3,8,1,1
19000,106,2,1,16,1,1
,106,2,2,16,1,1
,106,2,3,16,1,1
27432000,106,2,1,21,1,1
,106,2,2,21,1,1
,106,2,3,21,1,1
3926500,107,2,1,1,1,1
4226000,107,2,2,1,1,1
4200000,107,2,3,1,1,1
55762,107,2,1,2,1,1
18621,107,2,2,2,1,1
40000,107,2,3,2,1,1
675700,107,2,1,3,1,1
729000,107,2,2,3,1,1
723500,107,2,3,3,1,1
275460,107,2,1,4,1,1
278460,107,2,2,4,1,1
351000,107,2,3,4,1,1
297000,107,2,1,5,1,1
257000,107,2,2,5,1,1
267000,107,2,3,5,1,1
608500,107,2,1,6,1,1
503000,107,2,2,6,1,1
713000,107,2,3,6,1,1
381000,107,2,1,8,1,1
447000,107,2,2,8,1,1
447000,107,2,3,8,1,1
800,107,2,1,11,1,1
800,107,2,2,11,1,1
800,107,2,3,11,1,1
27000,107,2,1,30,1,1
28000,107,2,2,30,1,1
48000,107,2,3,30,1,1
5000,107,2,1,5,7,1
5000,107,2,2,5,7,1
5000,107,2,3,5,7,1
40000,107,2,1,7,12,1
,107,2,2,7,12,1
,107,2,3,7,12,1
176000,108,2,1,28,1,1
120000,108,2,2,28,1,1
120000,108,2,3,28,1,1
70000,108,2,1,30,1,1
60000,108,2,2,30,1,1
70000,108,2,3,30,1,1
0,108,2,1,34,1,1
162540,108,2,2,34,1,1
119926,108,2,3,34,1,1
101800,14,3,1,1,1,1
204200,14,3,2,1,1,1
204400,14,3,3,1,1,1
25000,14,3,1,2,1,1
5000,14,3,2,2,1,1
5000,14,3,3,2,1,1
19600,14,3,1,3,1,1
38500,14,3,2,3,1,1
38550,14,3,3,3,1,1
25200,14,3,1,4,1,1
86770,14,3,2,4,1,1
86770,14,3,3,4,1,1
30200,14,3,1,5,1,1
76891,14,3,2,5,1,1
