_fdp__id_,fin_source_code,fin_source_label
1,11,Opći prihodi i primi
2,12,Sredstva učešća za p
3,13,Sredstva učešća za z
4,15,Proračunska pričuva
5,21,Doprinosi za mirovin
6,23,Doprinosi za zapošlj
7,31,Vlastiti prihodi
8,41,Prihodi od igara na
9,42,Prihodi od spomeničk
10,43,Ostali prihodi za po
11,51,Pomoći EU
12,52,Ostale pomoći
13,53,Inozemne darovnice
14,55,Refund. iz pomoći EU
15,56,FONDOVI EU
16,57,OSTALI PROGRAMI EU
17,61,Donacije
18,63,Inozemne donacije
19,71,Prihodi od nefinanci
20,81,Namjenski primici od
21,82,Namjenski primici od
22,83,Namjenski primici od
