Godina,Razdjel,Naziv razdjela,Glava,Naziv glave,Glavni program,Naziv glavnog programa,Program,Naziv programa,Potprogram,Naziv potprograma,Funkcijsko podruèje,Naziv funkcijskog podruèja,Izvor financiranja,Naziv izvora financiranja,Razred stavke,Naziv razreda stavke,Skupina stavke,Naziv skupine stavke,Podskupina stavke,Naziv podskupine stavke,Tekuæi plan,Izvršenje
2017,010,HRVATSKI SABOR,01005,Hrvatski sabor,21,POLITIÈKI SUSTAV,2101,PROVOÐENJE ZAKONODAVNE VLASTI,A501000,ADMINISTRACIJA I UPRAVLJANJE,01,Opæe javne usluge,1,OPÆI PRIHODI I PRIMICI,3,Rashodi poslovanja,31,Rashodi za zaposlene,311,Plaæe (Bruto),78644000,77946067.23
2017,010,HRVATSKI SABOR,01005,Hrvatski sabor,21,POLITIÈKI SUSTAV,2101,PROVOÐENJE ZAKONODAVNE VLASTI,A501000,ADMINISTRACIJA I UPRAVLJANJE,01,Opæe javne usluge,1,OPÆI PRIHODI I PRIMICI,3,Rashodi poslovanja,31,Rashodi za zaposlene,312,Ostali rashodi za zaposlene,1155200,1034332.96
2017,010,HRVATSKI SABOR,01005,Hrvatski sabor,21,POLITIÈKI SUSTAV,2101,PROVOÐENJE ZAKONODAVNE VLASTI,A501000,ADMINISTRACIJA I UPRAVLJANJE,01,Opæe javne usluge,1,OPÆI PRIHODI I PRIMICI,3,Rashodi poslovanja,31,Rashodi za zaposlene,313,Doprinosi na plaæe,13544512,13345102.23
2017,010,HRVATSKI SABOR,01005,Hrvatski sabor,21,POLITIÈKI SUSTAV,2101,PROVOÐENJE ZAKONODAVNE VLASTI,A501000,ADMINISTRACIJA I UPRAVLJANJE,01,Opæe javne usluge,1,OPÆI PRIHODI I PRIMICI,3,Rashodi poslovanja,32,Materijalni rashodi,321,Naknade troškova zaposlenima,9185000,7463398.08
2017,010,HRVATSKI SABOR,01005,Hrvatski sabor,21,POLITIÈKI SUSTAV,2101,PROVOÐENJE ZAKONODAVNE VLASTI,A501000,ADMINISTRACIJA I UPRAVLJANJE,01,Opæe javne usluge,1,OPÆI PRIHODI I PRIMICI,3,Rashodi poslovanja,32,Materijalni rashodi,322,Rashodi za materijal i energiju,3880000,3312059.19
2017,010,HRVATSKI SABOR,01005,Hrvatski sabor,21,POLITIÈKI SUSTAV,2101,PROVOÐENJE ZAKONODAVNE VLASTI,A501000,ADMINISTRACIJA I UPRAVLJANJE,01,Opæe javne usluge,1,OPÆI PRIHODI I PRIMICI,3,Rashodi poslovanja,32,Materijalni rashodi,323,Rashodi za usluge,15318250,11600537.25
2017,010,HRVATSKI SABOR,01005,Hrvatski sabor,21,POLITIÈKI SUSTAV,2101,PROVOÐENJE ZAKONODAVNE VLASTI,A501000,ADMINISTRACIJA I UPRAVLJANJE,01,Opæe javne usluge,1,OPÆI PRIHODI I PRIMICI,3,Rashodi poslovanja,32,Materijalni rashodi,324,Naknade troškova osobama izvan radnog odnosa,450000,185141.25
2017,010,HRVATSKI SABOR,01005,Hrvatski sabor,21,POLITIÈKI SUSTAV,2101,PROVOÐENJE ZAKONODAVNE VLASTI,A501000,ADMINISTRACIJA I UPRAVLJANJE,01,Opæe javne usluge,1,OPÆI PRIHODI I PRIMICI,3,Rashodi poslovanja,32,Materijalni rashodi,329,Ostali nespomenuti rashodi poslovanja,5876250,4384399
2017,010,HRVATSKI SABOR,01005,Hrvatski sabor,21,POLITIÈKI SUSTAV,2101,PROVOÐENJE ZAKONODAVNE VLASTI,A501000,ADMINISTRACIJA I UPRAVLJANJE,01,Opæe javne usluge,1,OPÆI PRIHODI I PRIMICI,3,Rashodi poslovanja,34,Financijski rashodi,343,Ostali financijski rashodi,17908,8843.02
2017,010,HRVATSKI SABOR,01005,Hrvatski sabor,21,POLITIÈKI SUSTAV,2101,PROVOÐENJE ZAKONODAVNE VLASTI,A501000,ADMINISTRACIJA I UPRAVLJANJE,01,Opæe javne usluge,1,OPÆI PRIHODI I PRIMICI,3,Rashodi poslovanja,37,Naknade graðanima i kuæanstvima na temelju osiguranja i druge naknade,372,Ostale naknade graðanima i kuæanstvima iz proraèuna,250000,181306.39
2017,010,HRVATSKI SABOR,01005,Hrvatski sabor,21,POLITIÈKI SUSTAV,2101,PROVOÐENJE ZAKONODAVNE VLASTI,A501000,ADMINISTRACIJA I UPRAVLJANJE,01,Opæe javne usluge,1,OPÆI PRIHODI I PRIMICI,4,Rashodi za nabavu nefinancijske imovine,42,Rashodi za nabavu proizvedene dugotrajne imovine,422,Postrojenja i oprema,711000,367513.72
2017,010,HRVATSKI SABOR,01005,Hrvatski sabor,21,POLITIÈKI SUSTAV,2101,PROVOÐENJE ZAKONODAVNE VLASTI,A501000,ADMINISTRACIJA I UPRAVLJANJE,01,Opæe javne usluge,1,OPÆI PRIHODI I PRIMICI,4,Rashodi za nabavu nefinancijske imovine,42,Rashodi za nabavu proizvedene dugotrajne imovine,424,"Knjige, umjetnièka djela i ostale izložbene vrijednosti",135000,84176.27
2017,010,HRVATSKI SABOR,01005,Hrvatski sabor,21,POLITIÈKI SUSTAV,2101,PROVOÐENJE ZAKONODAVNE VLASTI,A501000,ADMINISTRACIJA I UPRAVLJANJE,01,Opæe javne usluge,3,VLASTITI PRIHODI,3,Rashodi poslovanja,32,Materijalni rashodi,323,Rashodi za usluge,18000,
2017,010,HRVATSKI SABOR,01005,Hrvatski sabor,21,POLITIÈKI SUSTAV,2101,PROVOÐENJE ZAKONODAVNE VLASTI,A501000,ADMINISTRACIJA I UPRAVLJANJE,01,Opæe javne usluge,5,POMOÆI,3,Rashodi poslovanja,32,Materijalni rashodi,324,Naknade troškova osobama izvan radnog odnosa,35000,
2017,010,HRVATSKI SABOR,01005,Hrvatski sabor,21,POLITIÈKI SUSTAV,2101,PROVOÐENJE ZAKONODAVNE VLASTI,A501004,ODRŽAVANJE ZGRADE (NARODNO SVEUÈILIŠTE OTOÈAC),08,"Rekreacija, kultura i religija",1,OPÆI PRIHODI I PRIMICI,3,Rashodi poslovanja,36,Pomoæi dane u inozemstvo i unutar opæeg proraèuna,366,Pomoæi proraèunskim korisnicima drugih proraèuna,360000,360000
2017,010,HRVATSKI SABOR,01005,Hrvatski sabor,21,POLITIÈKI SUSTAV,2101,PROVOÐENJE ZAKONODAVNE VLASTI,A501026,OBILJEŽAVANJE SPOMENDANA BLEIBURŠKE TRAGEDIJE I KRIŽNOG PUTA,01,Opæe javne usluge,1,OPÆI PRIHODI I PRIMICI,3,Rashodi poslovanja,38,Ostali rashodi,381,Tekuæe donacije,500000,500000
2017,010,HRVATSKI SABOR,01005,Hrvatski sabor,21,POLITIÈKI SUSTAV,2101,PROVOÐENJE ZAKONODAVNE VLASTI,A501029,OBVEZE PO SUDSKIM SPOROVIMA,01,Opæe javne usluge,1,OPÆI PRIHODI I PRIMICI,3,Rashodi poslovanja,31,Rashodi za zaposlene,312,Ostali rashodi za zaposlene,400,
2017,010,HRVATSKI SABOR,01005,Hrvatski sabor,21,POLITIÈKI SUSTAV,2101,PROVOÐENJE ZAKONODAVNE VLASTI,A501029,OBVEZE PO SUDSKIM SPOROVIMA,01,Opæe javne usluge,1,OPÆI PRIHODI I PRIMICI,3,Rashodi poslovanja,34,Financijski rashodi,343,Ostali financijski rashodi,100,
