Godina;Razdjel;Naziv razdjela;Glava;Naziv glave;Glavni program;Naziv glavnog programa;Program;Naziv programa;Potprogram;Naziv potprograma;Funkcijsko podruèje;Naziv funkcijskog podruèja;Izvor financiranja;Naziv izvora financiranja;Razred stavke;Naziv razreda stavke;Skupina stavke;Naziv skupine stavke;Podskupina stavke;Naziv podskupine stavke;Izvorni plan;Tekuæi plan;Izvršeno
2019;010;HRVATSKI SABOR;01005;Hrvatski sabor;21;POLITIÈKI SUSTAV;2101;PROVOÐENJE ZAKONODAVNE VLASTI;A501000;ADMINISTRACIJA I UPRAVLJANJE;01;Opæe javne usluge;11;Opæi prihodi i primi;3;Rashodi poslovanja;31;Rashodi za zaposlene;311;Plaæe (Bruto);82.340.800,00;;
2019;010;HRVATSKI SABOR;01005;Hrvatski sabor;21;POLITIÈKI SUSTAV;2101;PROVOÐENJE ZAKONODAVNE VLASTI;A501000;ADMINISTRACIJA I UPRAVLJANJE;01;Opæe javne usluge;11;Opæi prihodi i primi;3;Rashodi poslovanja;31;Rashodi za zaposlene;312;Ostali rashodi za zaposlene;1.277.852,00;;
2019;010;HRVATSKI SABOR;01005;Hrvatski sabor;21;POLITIÈKI SUSTAV;2101;PROVOÐENJE ZAKONODAVNE VLASTI;A501000;ADMINISTRACIJA I UPRAVLJANJE;01;Opæe javne usluge;11;Opæi prihodi i primi;3;Rashodi poslovanja;31;Rashodi za zaposlene;313;Doprinosi na plaæe;14.173.000,00;;
2019;010;HRVATSKI SABOR;01005;Hrvatski sabor;21;POLITIÈKI SUSTAV;2101;PROVOÐENJE ZAKONODAVNE VLASTI;A501000;ADMINISTRACIJA I UPRAVLJANJE;01;Opæe javne usluge;11;Opæi prihodi i primi;3;Rashodi poslovanja;32;Materijalni rashodi;321;Naknade troškova zaposlenima;8.150.000,00;;
2019;010;HRVATSKI SABOR;01005;Hrvatski sabor;21;POLITIÈKI SUSTAV;2101;PROVOÐENJE ZAKONODAVNE VLASTI;A501000;ADMINISTRACIJA I UPRAVLJANJE;01;Opæe javne usluge;11;Opæi prihodi i primi;3;Rashodi poslovanja;32;Materijalni rashodi;322;Rashodi za materijal i energiju;3.565.000,00;;
2019;010;HRVATSKI SABOR;01005;Hrvatski sabor;21;POLITIÈKI SUSTAV;2101;PROVOÐENJE ZAKONODAVNE VLASTI;A501000;ADMINISTRACIJA I UPRAVLJANJE;01;Opæe javne usluge;11;Opæi prihodi i primi;3;Rashodi poslovanja;32;Materijalni rashodi;323;Rashodi za usluge;13.227.000,00;;
2019;010;HRVATSKI SABOR;01005;Hrvatski sabor;21;POLITIÈKI SUSTAV;2101;PROVOÐENJE ZAKONODAVNE VLASTI;A501000;ADMINISTRACIJA I UPRAVLJANJE;01;Opæe javne usluge;11;Opæi prihodi i primi;3;Rashodi poslovanja;32;Materijalni rashodi;324;Naknade troškova osobama izvan radnog odnosa;800.000,00;;
2019;010;HRVATSKI SABOR;01005;Hrvatski sabor;21;POLITIÈKI SUSTAV;2101;PROVOÐENJE ZAKONODAVNE VLASTI;A501000;ADMINISTRACIJA I UPRAVLJANJE;01;Opæe javne usluge;11;Opæi prihodi i primi;3;Rashodi poslovanja;32;Materijalni rashodi;329;Ostali nespomenuti rashodi poslovanja;8.226.000,00;;
2019;010;HRVATSKI SABOR;01005;Hrvatski sabor;21;POLITIÈKI SUSTAV;2101;PROVOÐENJE ZAKONODAVNE VLASTI;A501000;ADMINISTRACIJA I UPRAVLJANJE;01;Opæe javne usluge;11;Opæi prihodi i primi;3;Rashodi poslovanja;34;Financijski rashodi;343;Ostali financijski rashodi;14.500,00;;
2019;010;HRVATSKI SABOR;01005;Hrvatski sabor;21;POLITIÈKI SUSTAV;2101;PROVOÐENJE ZAKONODAVNE VLASTI;A501000;ADMINISTRACIJA I UPRAVLJANJE;01;Opæe javne usluge;11;Opæi prihodi i primi;3;Rashodi poslovanja;36;Pomoæi dane u inozemstvo i unutar opæeg proraèuna;362;Pomoæi meðunarodnim organizacijama te institucijama i tijelima EU;50.000,00;;
